id,predicted_result_type,sentence_year,sentence_months,sentence_days,sentence_hours,is_suspended,suspension_years,suspension_months,fine_is_fixed,fine_amount,drug_weight,predicted_amount,drug_weight.1,entry_date,result_date,result_type,court_city,region,latitude,longitude,sentence_total_months,sentence_type,has_fine,fine_category,accuracy_flag,log_fine,log_weight,region_group
10110693,лишение свободы,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,значительный,,20.12.2019,14.1.2020,Вынесен ПРИГОВОР,г.Березники,Пермский край,58.0105,56.2502,13.0,,Нет,Нет штрафа,Разнится,0.0,0.0,Центр
10251172,обязательные работы,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,32.73,значительный,"32,730",17.12.2018,7.2.2019,Вынесен ПРИГОВОР,г. Черемхово,Иркутская область,52.2978,104.2964,12.0,,Нет,Нет штрафа,Разнится,0.0,3.5183876490735586,Центр
10215216,штраф,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,крупный,,13.4.2020,5.6.2020,Вынесен ПРИГОВОР,г. Ясный,Оренбургская область,51.7682,55.0968,0.0,,Нет,Нет штрафа,Разнится,0.0,0.0,Центр
10263374,штраф,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,значительный,,23.8.2021,2.9.2021,Вынесен ПРИГОВОР,г. Орск,Оренбургская область,51.7682,55.0968,0.0,,Нет,Нет штрафа,Разнится,0.0,0.0,Центр
10116031,штраф,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,40000.0,,значительный,,25.12.2023,23.1.2024,Вынесен ПРИГОВОР,г. Мурманск,Мурманская область,68.9792,33.0925,0.0,,Да,10k–50k₽,Разнится,10.596659732783579,0.0,Центр
10162060,штраф,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,значительный,,31.5.2023,,,г. Владивосток,Приморский край,43.1155,131.8855,0.0,,Нет,Нет штрафа,Разнится,0.0,0.0,Центр
10241574,условное осуждение,3.0,6.0,0.0,0.0,1.0,2.0,0.0,1.0,0.0,194.4,значительный,"194,4",23.11.2020,17.12.2020,Вынесен ПРИГОВОР,г. Улан-Удэ,Республика Бурятия,51.8335,107.5842,42.0,,Нет,Нет штрафа,Разнится,0.0,5.275048739608683,Центр
10219281,штраф,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,значительный,,30.11.2023,,,г. Оренбург,Оренбургская область,51.7682,55.0968,0.0,,Нет,Нет штрафа,Разнится,0.0,0.0,Центр
10172255,штраф,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,20.0,10.62,значительный,"10,62",17.1.2020,20.2.2020,Вынесен ПРИГОВОР,г. Дербент,Республика Дагестан,42.9849,47.5047,0.0,,Да,<1k₽,Разнится,3.044522437723423,2.4527277514237653,Центр
9990667,условное осуждение,4.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,0.0,0.87,значительный,"0,87",29.12.2021,15.3.2022,Вынесен ПРИГОВОР,г. Сланцы,Ленинградская область,59.9386,30.3141,48.0,,Нет,Нет штрафа,Разнится,0.0,0.6259384308664953,Центр
10038421,штраф,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,15000.0,7.5,значительный,"7,5",2.3.2023,19.4.2023,Вынесен ПРИГОВОР,с. Покровское,Ростовская область,47.2357,39.7015,0.0,,Да,10k–50k₽,Разнится,9.61587214452889,2.1400661634962708,Центр
10259208,штраф,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,крупный,,24.11.2021,4.8.2022,Применены ПРИНУДИТЕЛЬНЫЕ МЕРЫ МЕДИЦИНСКОГО ХАРАКТЕРА,г. Магнитогорск,Челябинская область,55.1644,61.4368,0.0,,Нет,Нет штрафа,Разнится,0.0,0.0,Центр
10298971,штраф,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,значительный,,29.5.2020,9.6.2020,ВОЗВРАЩЕНО ПРОКУРОРУ или РУКОВОДИТЕЛЮ СЛЕДСТВЕННОГО ОРГАНАОТКАЗАНО В УДОВЛЕТВОРЕНИИ ХОДАТАЙСТВА О ПРЕКРАЩЕНИИ УГОЛОВНОГ,г. Екатеринбург,Свердловская область,56.8389,60.6057,0.0,,Нет,Нет штрафа,Разнится,0.0,0.0,Центр
10183000,штраф,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,значительный,,29.3.2022,19.4.2022,Вынесен ПРИГОВОР,с. Песчанокопское,Ростовская область,47.2357,39.7015,0.0,,Нет,Нет штрафа,Разнится,0.0,0.0,Центр
10583077,штраф,0.0,0.0,60.0,0.0,0.0,0.0,0.0,1.0,0.0,0.43,значительный,"0,43",5.6.2024,19.6.2024,Вынесен ПРИГОВОР,г. Тюмень,Тюменская область,57.153,65.5272,2.0,,Нет,Нет штрафа,Разнится,0.0,0.3576744442718159,Центр
